"";"A";"B";"C";"D";"E";"F";"G";"Birth"
"113";1;0;1;0;1;1;1;0,0314267974920609
"114";1;0;0;1;1;1;1;6,60597339412198e-10
"115";0;1;1;1;1;1;0;8,00514864246361e-10
"116";0;1;1;1;1;0;1;0,0275421898325326
"117";0;1;1;1;0;1;1;2,90552238118835e-10
"118";0;1;1;0;1;1;1;0,0440302744076215
"119";0;1;0;1;1;1;1;0,000134937040212925
"120";0;0;1;1;1;1;1;6,85765817738138e-10
"121";1;1;1;1;1;1;0;0,0357149363515458
"122";1;1;1;1;1;0;1;3,52904688799754e-10
"123";1;1;1;1;0;1;1;0,0335405151589176
"124";1;1;1;0;1;1;1;2,47380019980483e-10
"125";1;1;0;1;1;1;1;0,0349683304834025
"126";1;0;1;1;1;1;1;0,0383670059441414
"127";0;1;1;1;1;1;1;0,027532386070624
"128";1;1;1;1;1;1;1;0,0405174307195397
