step,current_size,treatment,scenario
51,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
52,19,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
53,19,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
54,20,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
55,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
56,23,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
57,23,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
58,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
59,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
60,23,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
61,23,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
62,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
63,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
64,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
65,23,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
66,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
67,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
68,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
69,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
70,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
71,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
72,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
73,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
74,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
75,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
76,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
77,19,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
78,20,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
79,21,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
80,22,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
81,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
82,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
83,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
84,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
85,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
86,24,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
87,24,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
88,24,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
89,24,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
90,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
91,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
92,25,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
